VID,Company
03F0_1512,PRINTING SUPPORT
03F0_1517,COLOR LASERJET 3500
03F0_1524,SMART CARD KEYBOARD - KR
03F0_1539,MINI MAGNETIC STRIPE READER
03F0_1541,PRIME [G8X92AA]
03F0_154A,LASER MOUSE
03F0_1602,PHOTOSMART 330 SERIES
03F0_1604,DESKJET 940C
03F0_1605,SCANJET 5530C PHOTOSMART
03F0_1611,PSC 780
03F0_1617,LASERJET 3015
03F0_161D,WIRELESS RECHARGEABLE OPTICAL MOUSE (HID)
03F0_1624,SMART CARD KEYBOARD - JP
03F0_1647,Z27N G2 MONITOR HUB
03F0_1702,PHOTOSMART 380 SERIES
03F0_1704,DESKJET 948C
03F0_1705,SCANJET 5590
03F0_1711,PSC 780XI
03F0_1712,PRINTING SUPPORT
03F0_1717,LASERJET 3020
03F0_171D,BLUETOOTH 2.0 INTERFACE [BROADCOM BCM2045]
03F0_1801,INKJET P-2000U
03F0_1802,PHOTOSMART 470 SERIES
03F0_1804,DESKJET 916C
03F0_1805,SCANJET 7650
03F0_1811,PSC 720
03F0_1812,OFFICEJET PRO K550
03F0_1817,LASERJET 3030
03F0_181D,BLUETOOTH 2.0 INTERFACE
03F0_1902,PHOTOSMART A430 SERIES
03F0_1904,DESKJET 3820
03F0_1911,OFFICEJET V45
03F0_1917,LASERJET 3380
03F0_1A02,PHOTOSMART A510 SERIES
03F0_1A11,OFFICEJET 5100 SERIES
03F0_1A17,COLOR LASERJET 4650
03F0_1B02,PHOTOSMART A610 SERIES
03F0_1B04,DESKJET 3810
03F0_1B05,SCANJET 4850C/4890C
03F0_1B07,PREMIUM STARTER WEBCAM
03F0_1C02,PHOTOSMART A710 SERIES
03F0_1C17,COLOR LASERJET 2550L
03F0_1D02,PHOTOSMART A310 SERIES
03F0_1D17,LASERJET 1320
03F0_1D24,BARCODE SCANNER
03F0_1E02,PHOTOSMART A320 PRINTER SERIES
03F0_1E11,PSC-950
03F0_1E17,LASERJET 1160 SERIES
03F0_1F02,PHOTOSMART A440 PRINTER SERIES
03F0_1F11,PSC 920
03F0_1F12,OFFICEJET PRO K5300
03F0_1F17,COLOR LASERJET 5550
03F0_1F1D,UN2400 GOBI WIRELESS MODEM
03F0_2001,FLOPPY
03F0_2002,HUB
03F0_2004,DESKJET 640C
03F0_2005,SCANJET 3570C
03F0_2012,OFFICEJET PRO K5400
03F0_201D,UN2400 GOBI WIRELESS MODEM (QDL MODE)
03F0_2039,CASHDRAWER
03F0_2102,PHOTOSMART 7345
03F0_2104,DESKJET 630C
03F0_2112,OFFICEJET PRO L7500
03F0_211D,SIERRA MC5725 [EV2210]
03F0_2202,PHOTOSMART 7600 SERIES
03F0_2205,SCANJET 3500C
03F0_2212,OFFICEJET PRO L7600
03F0_2217,COLOR LASERJET 9500 MFP
03F0_222A,LASERJET PRO MFP M125NW
03F0_2302,PHOTOSMART 7600 SERIES
03F0_2304,DESKJET 656C
03F0_2305,SCANJET 3970C
03F0_2311,OFFICEJET D SERIES
03F0_2312,OFFICEJET PRO L7700
03F0_2317,LASERJET 4350
03F0_231D,BROADCOM 2070 BLUETOOTH COMBO
03F0_2402,PHOTOSMART 7700 SERIES
03F0_2404,DESKJET F2280 SERIES
03F0_2405,SCANJET 4070 PHOTOSMART
03F0_2417,LASERJET 4250
03F0_241D,GOBI 2000 WIRELESS MODEM (QDL MODE)
03F0_2424,LP1965 19" MONITOR HUB
03F0_2441,PRIME G2 [2AP18AA]
03F0_2502,PHOTOSMART 7700 SERIES
03F0_2504,DESKJET F4200 SERIES
03F0_2505,SCANJET 3770
03F0_2512,OFFICEJET PRO L7300 / COMPAQ LA2405 SERIES MONITOR
03F0_2514,4-PORT HUB
03F0_2517,LASERJET 2410
03F0_251D,GOBI 2000 WIRELESS MODEM
03F0_2524,LP3065 30" MONITOR HUB
03F0_2602,PHOTOSMART A520 SERIES
03F0_2605,SCANJET 3800C
03F0_2611,OFFICEJET 7100 SERIES
03F0_2617,COLOR LASERJET 2820 SERIES
03F0_2624,POLE DISPLAY (HP522 2 X 20 LINE DISPLAY)
03F0_2702,PHOTOSMART A620 SERIES
03F0_2704,DESKJET 915
03F0_2717,COLOR LASERJET 2830
03F0_2724,MAGNETIC STRIPE READER IDRA-334133-HP
03F0_2805,SCANJET G2710
03F0_2811,PSC-2100
03F0_2817,COLOR LASERJET 2840
03F0_2841,OMEN MINDFRAME [3XT27AA]
03F0_2902,PHOTOSMART A820 SERIES
03F0_2911,PSC 2200
03F0_2917,LASERJET 2420
03F0_2A11,PSC 2150 SERIES
03F0_2A17,LASERJET 2430
03F0_2A1D,INTEGRATED MODULE WITH BLUETOOTH 2.1 WIRELESS TECHNOLOGY
03F0_2B11,PSC 2170 SERIES
03F0_2B17,LASERJET 1020
03F0_2B4A,BUSINESS SLIM KEYBOARD
03F0_2C12,OFFICEJET J4680
03F0_2C17,LASERJET 1022
03F0_2C24,LOGITECH M-UAL-96 MOUSE
03F0_2D05,SCANJET 7000
03F0_2D11,OFFICEJET 6110
03F0_2D17,PRINTING SUPPORT
03F0_2D2A,LASERJET PRO MFP M225DW
03F0_2E11,PSC 1000
03F0_2E17,LASERJET 2600N
03F0_2E24,LP2275W MONITOR HUB
03F0_2F11,PSC 1200
03F0_2F17,COLOR LASERJET 2605DN
03F0_2F24,LP2475W MONITOR HUB
03F0_3002,PHOTOSMART P1000
03F0_3004,DESKJET 980C
03F0_3005,SCANJET 4670V
03F0_3011,PSC 1100 SERIES
03F0_3017,PRINTING SUPPORT
03F0_304A,SLIM KEYBOARD
03F0_3102,PHOTOSMART P1100 PRINTER W/ CARD READER
03F0_3104,DESKJET 960C
03F0_3111,OFFICEJET 4100 SERIES
03F0_3117,EWS 2605DTN
03F0_311D,ATHEROS AR9285 MALBEC BLUETOOTH ADAPTER
03F0_312A,LASERJET PRO M701N
03F0_3202,PHOTOSMART 1215
03F0_3207,4 GB FLASH DRIVE
03F0_3211,OFFICEJET 4105 SERIES
03F0_3217,LASERJET 3050
03F0_3302,PHOTOSMART 1218
03F0_3304,DESKJET 990C
03F0_3307,V125W STICK
03F0_3312,OFFICEJET J6410
03F0_3317,LASERJET 3052
03F0_3402,PHOTOSMART 1115
03F0_3404,DESKJET 6122
03F0_3417,LASERJET 3055
03F0_3502,PHOTOSMART 230
03F0_3504,DESKJET 6127C
03F0_3511,PSC 2300
03F0_3517,LASERJET 3390
03F0_354A,SLIM KEYBOARD
03F0_3602,PHOTOSMART 1315
03F0_3611,PSC 2410 PHOTOSMART
03F0_3612,OFFICEJET PRO 8000 A809
03F0_3617,COLOR LASERJET 2605
03F0_3711,PSC 2500
03F0_3717,EWS UPD
03F0_3724,WEBCAM
03F0_3802,PHOTOSMART 100
03F0_3807,C485W FLASH DRIVE
03F0_3817,LASERJET P2015 SERIES
03F0_3902,PHOTOSMART 130
03F0_3912,OFFICEJET PRO 8500
03F0_3917,LASERJET P2014
03F0_3A02,PHOTOSMART 7150
03F0_3A11,OFFICEJET 5500 SERIES
03F0_3A17,PRINTING SUPPORT
03F0_3A1D,HS2340 HSPA+ MOBILE BROADBAND
03F0_3B02,PHOTOSMART 7150~
03F0_3B05,SCANJET N8460
03F0_3B11,PSC 1300 SERIES
03F0_3B17,LASERJET M1005 MFP
03F0_3B2A,COLOR LASERJET MFP M277DW
03F0_3C02,PHOTOSMART 7350
03F0_3C05,SCANJET PROFESSIONAL 1000 MOBILE SCANNER
03F0_3C11,PSC 1358
03F0_3C17,EWS UPD
03F0_3D02,PHOTOSMART 7350~
03F0_3D11,OFFICEJET 4215
03F0_3D17,LASERJET P1005
03F0_3E02,PHOTOSMART 7550
03F0_3E07,X755W FLASH DRIVE
03F0_3E17,LASERJET P1006
03F0_3F02,PHOTOSMART 7550~
03F0_3F11,PSC-1315/PSC-1317
03F0_3F17,LASERJET P1505
