VID, COMPANY
0641,WOODS INDUSTRIES INC.
0642,VIA MEDICAL CORP.
0644,TEAC CORP.
0645,WHO? VISION SYSTEMS INC.
0646,UMAX
0647,ACTON RESEARCH CORP.
0648,INSIDE OUT NETWORKS
0649,WELI SCIENCE CO. LTD
064B,ANALOG DEVICES INC. (WHITE MOUNTAIN DSP)
064C,JI-HAW INDUSTRIAL CO. LTD
064D,TRITECH MICROELECTRONICS LTD
064E,SUYIN CORP.
064F,WIBU-SYSTEMS AG
0650,DYNAPRO SYSTEMS
0651,LIKOM TECHNOLOGY SDN. BHD.
0652,STARGATE SOLUTIONS INC.
0653,CNF INC.
0654,GRANITE MICROSYSTEMS INC.
0655,SPACE SHUTTLE HI-TECH CO. LTD
0656,GLORY MARK ELECTRONIC LTD
0657,TEKCON ELECTRONICS CORP.
0658,SIGMA DESIGNS INC.
0659,AETHRA
065A,OPTOELECTRONICS CO. LTD
065B,TRACEWELL SYSTEMS
065E,SILICON GRAPHICS
065F,GOOD WAY TECHNOLOGY CO. LTD & GWC TECHNOLOGY INC.
0660,TSAY-E (BVI) INTERNATIONAL INC.
0661,HAMAMATSU PHOTONICS K.K.
0662,KANSAI ELECTRIC CO. LTD
0663,TOPMAX ELECTRONIC CO. LTD
0664,ET&T TECHNOLOGY CO. LTD.
0665,CYPRESS SEMICONDUCTOR
0667,AIWA CO. LTD
0668,WORDWAND
0669,OCE' PRINTING SYSTEMS GMBH
066A,TOTAL TECHNOLOGIES LTD
066B,LINKSYS INC.
066D,ENTREGA INC.
066E,ACER SEMICONDUCTOR AMERICA INC.
066F,SIGMATEL INC.
0670,SEQUEL IMAGING
0672,LABTEC INC.
0673,HCL
0674,KEY MOUSE ELECTRONIC ENTERPRISE CO. LTD
0675,DRAYTEK CORP.
0676,TELES AG
0677,AIWA CO. LTD
0678,ACARD TECHNOLOGY CORP.
067B,PROLIFIC TECHNOLOGY INC.
067C,EFFICIENT NETWORKS INC.
067D,HOHNER CORP.
067E,INTERMEC TECHNOLOGIES CORP.
067F,VIRATA LTD
0680,REALTEK SEMICONDUCTOR CORP. CPP DIV. (AVANCE LOGIC)
0681,SIEMENS INFORMATION AND COMMUNICATION PRODUCTS
0682,VICTOR COMPANY OF JAPAN LTD
0684,ACTIONTEC ELECTRONICS INC.
0685,ZD INCORPORATED
0686,MINOLTA CO. LTD
068A,PERTECH INC.
068B,POTRANS INTERNATIONAL INC.
068E,CH PRODUCTS INC.
068F,NIHON KOHDEN
0690,GOLDEN BRIDGE ELECTECH INC.
0693,HAGIWARA SYS-COM CO. LTD
0694,LEGO GROUP
0698,CHUNTEX (CTX)
0699,TEKTRONIX INC.
069A,ASKEY COMPUTER CORP.
069B,THOMSON INC.
069D,HUGHES NETWORK SYSTEMS (HNS)
069E,WELCAT INC.
